$contributor.employer.matched
                                                   (Intercept)    cycle2020
ACF INDUSTRIES INC                               -0.0858504445 0.0004838053
ACG HOLDINGS INC                                  0.1058908801 0.0004838053
Achaogen, Inc.                                   -0.2065571487 0.0004838053
ACHILLION PHARMACEUTICALS INC                    -0.2524324833 0.0004838053
ACI WORLDWIDE, INC.                              -0.1286768715 0.0004838053
ACIES CORP                                       -0.1858846981 0.0004838053
Aclaris Therapeutics, Inc.                        0.1526569415 0.0004838053
ACM Corp                                         -0.0447237300 0.0004838053
ACME Aerospace, Inc.                             -0.2585920446 0.0004838053
ACME ATRONOMATIC INC                             -0.3924419257 0.0004838053
ACME ELECTRIC CORP                               -0.5294716792 0.0004838053
ACME METALS INC/                                 -0.1406177791 0.0004838053
ACME PACKET INC                                  -0.1498079045 0.0004838053
ACME UNITED CORP                                 -0.1499248176 0.0004838053
ACMI CORP                                        -0.2720025668 0.0004838053
ACNB CORP                                        -0.0411748569 0.0004838053
Acorda Therapeutics, Inc.                        -0.2667992114 0.0004838053
ACORN ENERGY, INC.                                0.1363486100 0.0004838053
Acorn International, Inc.                        -0.1824808225 0.0004838053
Acquity Group Ltd                                -0.2231069379 0.0004838053
ACR GROUP INC                                    -0.1371255281 0.0004838053
Acreage Holdings, Inc.                           -0.2936288245 0.0004838053
Acres Technology                                 -0.1840158661 0.0004838053
Acrivon Therapeutics, Inc.                       -0.2027901811 0.0004838053
ACS ENTERPRISES INC                               0.7129945020 0.0004838053
ACT INTERNATIONAL INC                            -0.2454258252 0.0004838053
ACT MANUFACTURING INC                            -0.3195879831 0.0004838053
ACT NETWORKS INC                                 -0.1302979675 0.0004838053
Actinium Pharmaceuticals, Inc.                   -0.1933410122 0.0004838053
ACTION INDUSTRIES INC                            -0.2036088637 0.0004838053
ACTIVE NETWORK INC                               -0.2167996671 0.0004838053
ACTIVE PRODUCTS CO                               -0.2912922211 0.0004838053
ACTIVECARE, INC.                                 -0.1262429203 0.0004838053
Activision Blizzard, Inc.                        -0.2079920793 0.0004838053
ACTUATE CORP                                     -0.0442396320 0.0004838053
ACTUATE THERAPEUTICS, INC.                       -0.1921602749 0.0004838053
Acuity Brands Lighting, Inc.                     -0.2894677516 0.0004838053
Acumen Pharmaceuticals, Inc.                     -0.2172363038 0.0004838053
Acutus Medical, Inc.                             -0.1785412733 0.0004838053
ACV Auctions Inc.                                -0.0960041914 0.0004838053
ADA-ES INC                                       -0.1592922430 0.0004838053
Adagene Inc.                                     -0.2270409306 0.0004838053
ADAM INC                                          0.1036940552 0.0004838053
Adamas Pharmaceuticals Inc                       -0.3377630666 0.0004838053
ADAMS OUTDOOR ADVERTISING INC                     0.1629721628 0.0004838053
ADAMS RITE AEROSPACE INC                         -0.1548520213 0.0004838053
AdaptHealth Corp.                                -0.2770726443 0.0004838053
Adaptive Biotechnologies Corp                    -0.0460604623 0.0004838053
ADAPTIVE INSIGHTS INC                            -0.2882064267 0.0004838053
ADAPTIVE SOLUTIONS INC                           -0.2368210643 0.0004838053
Addus HomeCare Corp                              -0.1630231381 0.0004838053
ADE CORP                                          0.1259454380 0.0004838053
Adeia Inc.                                       -0.1115260275 0.0004838053
ADEN SOLUTIONS INC.                              -0.2033323380 0.0004838053
ADENA INC                                         0.2365032068 0.0004838053
ADEPT TECHNOLOGY INC                             -0.0177972797 0.0004838053
Adeptus Health Inc.                              -0.0463432934 0.0004838053
ADESA INC                                        -0.2654884572 0.0004838053
ADESTO TECHNOLOGIES Corp                         -0.1453076599 0.0004838053
Adfitech, Inc.                                   -0.1913316370 0.0004838053
ADFORCE INC                                      -0.1663471548 0.0004838053
ADI GLOBAL DISTRIBUTION INC.                     -0.2166742509 0.0004838053
Adicet Bio, Inc.                                 -0.2916408829 0.0004838053
Adient plc                                       -0.2718506005 0.0004838053
ADKNOWLEDGE INC                                  -0.3289222575 0.0004838053
ADM ENTERPRISES INC                              -0.2095396913 0.0004838053
ADMA BIOLOGICS, INC.                             -0.0497497051 0.0004838053
Admiral Group                                     0.5772989199 0.0004838053
ADOBE INC.                                       -0.1530058695 0.0004838053
ADOREME, INC.                                    -0.1678364906 0.0004838053
ADT Corp                                         -0.2093659079 0.0004838053
ADVA INTERNATIONAL INC                           -0.0086841780 0.0004838053
Advance America, Cash Advance Centers, Inc.       0.4287047179 0.0004838053
ADVANCE AUTO PARTS INC                           -0.2313434503 0.0004838053
ADVANCE CIRCUITS INC                             -0.1379030989 0.0004838053
Advance Green Energy Inc                          0.5506679239 0.0004838053
ADVANCE STORES CO INC                            -0.2826921278 0.0004838053
ADVANCED COMMUNICATION SYSTEMS INC               -0.2372097038 0.0004838053
Advanced Disposal Services, Inc.                 -0.2706274144 0.0004838053
ADVANCED DRAINAGE SYSTEMS, INC.                   1.0704975786 0.0004838053
ADVANCED ENERGY INDUSTRIES INC                   -0.1834641318 0.0004838053
ADVANCED INPUT DEVICES INC                       -0.1998631682 0.0004838053
ADVANCED MEDIA INC                               -0.1630635993 0.0004838053
ADVANCED MICRO DEVICES INC                       -0.1365229265 0.0004838053
ADVANCED PHOTONIX INC                            -0.1889287379 0.0004838053
Advanced Resources Group, Ltd.                   -0.1738400784 0.0004838053
ADVANCED TECHNOLOGIES GROUP LTD                  -0.2448654917 0.0004838053
AdvanSix Inc.                                    -0.2073453294 0.0004838053
ADVANSTAR COMMUNICATIONS INC                     -0.4225232425 0.0004838053
ADVANSTAR INC                                    -0.4588939380 0.0004838053
ADVANTA BUSINESS SERVICES CORP                    0.1259920841 0.0004838053
ADVANTA CORP                                     -0.1994422792 0.0004838053
Advantage Health, LLC                             0.0121109597 0.0004838053
Advantage Insurance Inc.                         -0.1490588188 0.0004838053
ADVANTAGE PAYROLL SERVICES INC                    0.1035775786 0.0004838053
ADVANTAGE SOLUTIONS INC.                         -0.2005733641 0.0004838053
ADVANTAGE TECHNOLOGIES INC                       -0.3485558064 0.0004838053
ADVANTEST CORP                                   -0.0846524201 0.0004838053
ADVANZ PHARMA Corp.                              -0.2396959850 0.0004838053
ADVERTISING COM                                  -0.1960422365 0.0004838053
Adverum Biotechnologies, Inc.                    -0.1036183793 0.0004838053
ADVFN PLC                                        -0.2139092399 0.0004838053
ADVISORY BOARD CO                                -0.3574864171 0.0004838053
ADX Corp.                                        -0.3121422274 0.0004838053
Aearo Technologies Inc.                          -0.2644874423 0.0004838053
AECOM                                            -0.2446527732 0.0004838053
Aegerion Pharmaceuticals, Inc.                   -0.2920109627 0.0004838053
Aegion Corp                                      -0.1599452055 0.0004838053
AEGIS GROUP PLC                                  -0.2286204573 0.0004838053
Aegis Identity Software, Inc.                    -0.2303991133 0.0004838053
AEGON LTD.                                       -0.3563875417 0.0004838053
AEHR TEST SYSTEMS                                 0.0177533870 0.0004838053
AEI                                              -0.0120584520 0.0004838053
AEL INDUSTRIES INC                               -0.2436764141 0.0004838053
AEMETIS, INC                                     -0.0848235504 0.0004838053
AEON CO., LTD.                                   -0.3507693603 0.0004838053
AEP INDUSTRIES INC                                0.1846305791 0.0004838053
AEP TEXAS CENTRAL CO                              0.7428371856 0.0004838053
AEP Texas Inc.                                    0.9201414060 0.0004838053
AEP TEXAS NORTH CO                                0.8038828245 0.0004838053
AERCO LTD                                        -0.2125439288 0.0004838053
AERIAL COMMUNICATIONS INC                         0.6047330367 0.0004838053
AERIE PHARMACEUTICALS INC                        -0.0999676519 0.0004838053
AERO GROUP Inc                                    0.4913562344 0.0004838053
Aero Logistics, LLC                              -0.1871171026 0.0004838053
AERO SYSTEMS ENGINEERING INC                     -0.1341438592 0.0004838053
AeroControlex Group, Inc.                        -0.6029086606 0.0004838053
AEROFLEX INC                                     -0.0639168127 0.0004838053
AEROGEN INC                                      -0.3360628582 0.0004838053
AeroGrow International, Inc.                      0.0028772974 0.0004838053
AEROHIVE NETWORKS, INC                            0.1170338888 0.0004838053
Aerosonic LLC                                    -0.3048674904 0.0004838053
AeroVironment Inc                                -0.0514422156 0.0004838053
AerSale Corp                                     -0.2901307234 0.0004838053
AES CORP                                         -0.1887262868 0.0004838053
AESI Holdings Inc.                               -0.2106524028 0.0004838053
AESP INC                                         -0.2164115239 0.0004838053
AETHLON MEDICAL INC                               0.4438735392 0.0004838053
