$contributor.employer.matched
                                              (Intercept)  cycle2020
Apptio Inc                                  -0.4795872223 0.07838962
APRECIA INC                                 -0.3817078014 0.07838962
Aprimo, INC                                 -0.5751368532 0.07838962
Apttus Corp                                 -0.4599729369 0.07838962
APTUS CORP                                  -0.2436213926 0.07838962
AQUANTIA CORP                               -0.5430420691 0.07838962
ARIBA INC                                   -0.5390928149 0.07838962
ARIEL CORP                                   0.5182486589 0.07838962
ARIS CORP/                                  -0.5432609702 0.07838962
Arise Technologies Inc.                     -0.3496682426 0.07838962
Arista Networks, Inc.                       -0.4462486643 0.07838962
ARKONA INC                                  -0.4864565702 0.07838962
ARM HOLDINGS PLC                            -0.4213906914 0.07838962
Array Technologies, Inc.                    -0.5641569687 0.07838962
ARRIS GROUP INC                             -0.6700133314 0.07838962
ARRIS International plc                     -0.5163201875 0.07838962
Arteris, Inc.                               -0.3598248276 0.07838962
ARUBA NETWORKS, INC.                        -0.5858417653 0.07838962
ASA INTERNATIONAL LTD                       -0.1798273864 0.07838962
Asana, Inc.                                 -0.4931201506 0.07838962
Ascent Solar Technologies, Inc.             -0.4760585315 0.07838962
ASPECT DEVELOPMENT INC                      -0.4510990835 0.07838962
Aspect Software, Inc.                       -0.5177107498 0.07838962
Aspen Technology, Inc.                      -0.4699762841 0.07838962
ASPENTECH Corp                              -0.4959854456 0.07838962
ASTEA INTERNATIONAL INC                     -0.4627513956 0.07838962
Astera Labs, Inc.                           -0.4622698727 0.07838962
AstroNova, Inc.                             -0.5906906289 0.07838962
ASURE SOFTWARE INC                          -0.4791205081 0.07838962
AT COMM CORP                                 0.2036057617 0.07838962
AT HOME CORP                                -0.1507970182 0.07838962
Atakama Inc.                                -0.4299413653 0.07838962
ATARI CORP                                  -0.3598517179 0.07838962
ATI TECHNOLOGIES INC                        -0.5032527908 0.07838962
ATL PRODUCTS INC                            -0.3926403793 0.07838962
Atlassian Corp                              -0.5052117717 0.07838962
ATMEL CORP                                  -0.5086545885 0.07838962
AtomBeam Technologies Inc.                  -0.4512064140 0.07838962
Atomera Inc                                 -0.5411419737 0.07838962
ATTACHMATE CORP                             -0.3828323873 0.07838962
ATTUNITY LTD                                -0.4424613498 0.07838962
AUDIENCE INC                                -0.4682758687 0.07838962
AUDIOCODES LTD                              -0.5220284879 0.07838962
AUDIOEYE INC                                -0.4867029762 0.07838962
AULT INC                                    -0.5776123381 0.07838962
Aurora Innovation, Inc.                     -0.4557101651 0.07838962
Aurum, Inc.                                  1.1948811576 0.07838962
Autodesk, Inc.                              -0.4904623534 0.07838962
AutoWeb, Inc.                               -0.4557301542 0.07838962
Avago Technologies LTD                      -0.5204777703 0.07838962
AVALARA, INC.                               -0.4624887662 0.07838962
AVANT CORP                                  -0.5791539850 0.07838962
AVATAR SYSTEMS INC                          -0.5757425010 0.07838962
Avaya Holdings Corp.                        -0.4524692836 0.07838962
AVAYA INC                                   -0.4912397082 0.07838962
AvePoint, Inc.                              -0.5444932371 0.07838962
AVIAT NETWORKS, INC.                        -0.4431958924 0.07838962
AVID TECHNOLOGY, INC.                       -0.4614593388 0.07838962
AVOCENT CORP                                -0.0253653309 0.07838962
AVX Corp                                    -0.3906793571 0.07838962
AXT INC                                     -0.3450143674 0.07838962
AZTEK INC                                   -0.2670763473 0.07838962
Babylon Ltd                                 -0.5507049268 0.07838962
Backblaze, Inc.                             -0.5454510576 0.07838962
Baidu, Inc.                                 -0.3947240788 0.07838962
BAKBONE SOFTWARE INC                        -0.4506555852 0.07838962
BALLY TECHNOLOGIES, INC.                    -0.4331361014 0.07838962
BANCTEC INC                                 -0.6306162948 0.07838962
Bandwidth Inc.                              -0.5019416602 0.07838962
BARRACUDA NETWORKS INC                      -0.5305424565 0.07838962
BARRISTER GLOBAL SERVICES NETWORK INC       -0.3846687400 0.07838962
Bazaarvoice Inc                             -0.4967832027 0.07838962
BBN CORP                                    -0.5025438494 0.07838962
BE INC                                      -0.3740120796 0.07838962
BEA SYSTEMS INC                             -0.4867726976 0.07838962
BELL & HOWELL CO //                         -0.6054046528 0.07838962
BENCHMARK ELECTRONICS INC                   -0.4927416420 0.07838962
Benefitfocus, Inc.                          -0.5514982926 0.07838962
BENTLEY SYSTEMS INC                         -0.3655138253 0.07838962
BEST SOFTWARE INC                           -0.3836746666 0.07838962
BILL Holdings, Inc.                         -0.4629037706 0.07838962
BIO KEY INTERNATIONAL INC                   -0.4454631818 0.07838962
BioXcel LLC                                 -0.1323928993 0.07838962
Bitstream Inc.                              -0.0579726838 0.07838962
BK Technologies Corp                         0.6087530943 0.07838962
BLACK BOX CORP                              -0.5184726235 0.07838962
Black Knight, Inc.                          -0.3183574991 0.07838962
BLACKBAUD INC                               -0.5088349153 0.07838962
BLACKBERRY Ltd                              -0.4750246301 0.07838962
BLACKBOARD INC                              -0.5535271390 0.07838962
BLACKLINE, INC.                             -0.4056823848 0.07838962
Blaize, Inc.                                -0.3950733016 0.07838962
Blend Labs, Inc.                            -0.4635040566 0.07838962
Block, Inc.                                 -0.4880775043 0.07838962
BLUE BRIDGE CAPITAL, INC.                    0.4017628217 0.07838962
BLUE COAT SYSTEMS INC                       -0.4653605966 0.07838962
Blue Coat, Inc.                             -0.4536293746 0.07838962
BMC SOFTWARE INC                            -0.4504505153 0.07838962
BOSTON TECHNOLOGY INC                       -0.4370858325 0.07838962
BOTTOMLINE TECHNOLOGIES INC                 -0.5000441007 0.07838962
bowmo, Inc.                                 -0.3303164668 0.07838962
BOX INC                                     -0.5035744127 0.07838962
BPO Management Services, Inc.               -0.4065270309 0.07838962
Brand Engagement Network Inc.                0.2381129064 0.07838962
Braze, Inc.                                 -0.5411941194 0.07838962
BRC HOLDINGS INC                            -0.2624210701 0.07838962
BRIDGE TECHNOLOGY INC                       -0.5129966255 0.07838962
Bridgeline Digital, Inc.                    -0.3793898428 0.07838962
Bright Mountain Media, Inc.                 -0.5100103929 0.07838962
Brightways Corp                             -0.4438013862 0.07838962
BRILLIANT DIGITAL ENTERTAINMENT INC         -0.4321141080 0.07838962
BROADBANDNOW INC                            -0.4119396273 0.07838962
BROADCASTER INC                             -0.4110490777 0.07838962
BROADCOM CORP                               -0.3941861479 0.07838962
BROADSOFT, INC.                             -0.3890180198 0.07838962
BROADVISION INC                             -0.2972827136 0.07838962
BROCADE COMMUNICATIONS SYSTEMS INC          -0.3451203176 0.07838962
Bumble Inc.                                 -0.5268916951 0.07838962
Business Warrior Corp                       -0.3858699224 0.07838962
C3.ai, Inc.                                 -0.1290964826 0.07838962
CA, INC.                                    -0.4946158847 0.07838962
CADENCE DESIGN SYSTEMS INC                  -0.4645692932 0.07838962
CAL INTERNATIONAL LTD                       -0.4847278600 0.07838962
CalAmp Corp.                                -0.3666463570 0.07838962
CALLIDUS SOFTWARE INC                       -0.4261206772 0.07838962
Cambium Networks Corp                       -0.2990207805 0.07838962
Canadian Solar Inc.                         -0.4723657273 0.07838962
CANTALOUPE, INC.                            -0.5437942297 0.07838962
CAPRI CORP                                  -0.5367735636 0.07838962
Carbon Black, Inc.                          -0.4008331023 0.07838962
Cardlytics, Inc.                            -0.5062023650 0.07838962
CARECENTRIC INC                             -0.4804687705 0.07838962
CareCloud, Inc.                             -0.5809549021 0.07838962
CareView Communications Inc                 -0.4681316814 0.07838962
CARLETON CORP                               -0.4880648142 0.07838962
Casa Systems Inc                            -0.4325894493 0.07838962
CASCADE TECHNOLOGIES CORP                   -0.2512141824 0.07838962
CATAPULT COMMUNICATIONS CORP                -0.4994329373 0.07838962
CAVIUM, INC.                                -0.4372427077 0.07838962
CDC CORP                                    -0.5058498647 0.07838962
CDC Software CORP                           -0.4861765442 0.07838962
CELERITY SOLUTIONS INC                      -0.2761169933 0.07838962
CELESTICA INC                               -0.3683515410 0.07838962
CERAGON NETWORKS LTD                        -0.4611741778 0.07838962
Cerebras Systems Inc.                       -0.4538416600 0.07838962
Cerence Inc.                                -0.4814580108 0.07838962
CERNER Corp                                 -0.5155833469 0.07838962
Certara, Inc.                               -0.4925352808 0.07838962
CEVA INC                                    -0.4093743129 0.07838962
CHANNELADVISOR CORP                         -0.5149916345 0.07838962
CHANNELL COMMERCIAL CORP                    -0.3806550948 0.07838962
CHECK POINT SOFTWARE TECHNOLOGIES LTD       -0.5328572485 0.07838962
CHECKPOINT SYSTEMS INC                      -0.4747280716 0.07838962
China Inc                                   -0.6105458314 0.07838962
CI&T Inc                                    -0.5391909531 0.07838962
CICERO INC                                  -0.2554096216 0.07838962
CIDRA CORP                                  -0.5944521377 0.07838962
CIENA CORP                                  -0.4694880236 0.07838962
CIMETRIX INC                                -0.3153692079 0.07838962
CIRCUIT SYSTEMS INC                          0.2279940254 0.07838962
CIRRUS LOGIC, INC.                          -0.4176257880 0.07838962
CISCO SYSTEMS, INC.                         -0.3531965295 0.07838962
CISION LTD.                                 -0.5395763238 0.07838962
CITRIX SYSTEMS INC                          -0.4777338773 0.07838962
CLARE INC                                   -0.5414882072 0.07838962
CLARIFY INC                                 -0.5247908440 0.07838962
Clear Secure, Inc.                          -0.4435510436 0.07838962
Clearfield, Inc.                            -0.5490263928 0.07838962
CLEARONE INC                                -0.7595894171 0.07838962
CLINICAL INTELLIGENCE INC                   -0.0705053190 0.07838962
Cloudera, Inc.                              -0.4795151982 0.07838962
Cloudflare, Inc.                            -0.4870117090 0.07838962
CloudMinds Inc.                             -0.4599111447 0.07838962
CLPS Inc                                    -0.5144908596 0.07838962
CMC INDUSTRIES INC                          -0.5977948433 0.07838962
CMC Materials, Inc.                         -0.5504832483 0.07838962
CNF TECHNOLOGIES INC                        -0.5402425341 0.07838962
COBRA ELECTRONICS CORP                      -0.3866281674 0.07838962
Coforge Ltd                                 -0.4287031680 0.07838962
Cogent, Inc.                                -0.4874331465 0.07838962
COGNIZANT TECHNOLOGY SOLUTIONS CORP         -0.5243286374 0.07838962
COGNOS INC                                  -0.5163618354 0.07838962
COMMAND SYSTEMS INC                         -0.5319938608 0.07838962
CommerceHub, Inc.                           -0.5744863228 0.07838962
COMMSCOPE INC                               -0.4179092537 0.07838962
COMMUNICATIONS & POWER INDUSTRIES LLC       -0.4472737344 0.07838962
COMMVAULT SYSTEMS INC                       -0.5060406438 0.07838962
COMPRESSION LABS INC                         0.1099154502 0.07838962
COMPUDYNE CORP                              -0.6092173052 0.07838962
COMPUSERVE CORP                             -0.4404256131 0.07838962
COMPUTER SCIENCES CORP                      -0.3793141763 0.07838962
Computer Software Innovations, Inc.         -0.4455431015 0.07838962
COMPUTER TASK GROUP INC                     -0.4412695043 0.07838962
COMPUWARE CORP                              -0.5479584586 0.07838962
COMTREX SYSTEMS CORP                         0.8747554536 0.07838962
CONCENTRA CORP                              -0.4887749947 0.07838962
CONCERO INC                                 -0.4667382149 0.07838962
CONCUR TECHNOLOGIES INC                     -0.5829781561 0.07838962
CONCURRENT COMPUTER CORP                    -0.7093791667 0.07838962
CONEXANT SYSTEMS INC                        -0.1014290842 0.07838962
Confluent, Inc.                             -0.4456877236 0.07838962
CONNECTED CORP                              -0.4780996732 0.07838962
CONNECTURE INC                              -0.6209617570 0.07838962
Consensus Cloud Solutions, Inc.             -0.5080711933 0.07838962
CONSILIUM INC                               -0.5070760683 0.07838962
CONSTELLATION SOFTWARE INC                  -0.4056251369 0.07838962
CONTINUUM CO INC                            -0.5795297564 0.07838962
CONTROL DEVICES INC                          0.4091293006 0.07838962
CONTROL4 CORP                               -0.5149064678 0.07838962
CONVERA Corp                                -0.5010158343 0.07838962
ConvergeOne Holdings, Inc.                  -0.3533407442 0.07838962
CONVERGEX INC.                              -0.4814836114 0.07838962
Convio, Inc.                                -0.4816874078 0.07838962
COORSTEK INC                                -0.5009223323 0.07838962
CORAL SYSTEMS INC                           -0.4650373217 0.07838962
CORCOM INC                                  -0.5091858648 0.07838962
CoreCard Corp                               -0.5839006209 0.07838962
COREL CORP                                  -0.4348213880 0.07838962
CoreWeave, Inc.                             -0.4459517238 0.07838962
Cornerstone OnDemand Inc                    -0.4747697064 0.07838962
Corridor Communications Corp                -0.5137582474 0.07838962
Corsair Components, Inc.                    -0.5835156089 0.07838962
Corsair Gaming, Inc.                        -0.5089247244 0.07838962
CORTINA SYSTEMS INC                         -0.4906030071 0.07838962
Couchbase, Inc.                             -0.4820140137 0.07838962
COUNTERPATH CORP                            -0.4847284321 0.07838962
Coupa Software Inc                          -0.3745762694 0.07838962
Coursera, Inc.                              -0.4783392649 0.07838962
