$contributor.employer.matched
                                                   (Intercept)    cycle2020
ACF INDUSTRIES INC                               -0.0858508268 0.0004840761
ACG HOLDINGS INC                                  0.1058999107 0.0004840761
Achaogen, Inc.                                   -0.2065674859 0.0004840761
ACHILLION PHARMACEUTICALS INC                    -0.2524578629 0.0004840761
ACI WORLDWIDE, INC.                              -0.1286773128 0.0004840761
ACIES CORP                                       -0.1858954634 0.0004840761
Aclaris Therapeutics, Inc.                        0.1526585010 0.0004840761
ACM Corp                                         -0.0447242929 0.0004840761
ACME Aerospace, Inc.                             -0.2585983028 0.0004840761
ACME ATRONOMATIC INC                             -0.3924528264 0.0004840761
ACME ELECTRIC CORP                               -0.5294805518 0.0004840761
ACME METALS INC/                                 -0.1406231579 0.0004840761
ACME PACKET INC                                  -0.1498167315 0.0004840761
ACME UNITED CORP                                 -0.1499272344 0.0004840761
ACMI CORP                                        -0.2720140667 0.0004840761
ACNB CORP                                        -0.0411664626 0.0004840761
Acorda Therapeutics, Inc.                        -0.2668004739 0.0004840761
ACORN ENERGY, INC.                                0.1363748759 0.0004840761
Acorn International, Inc.                        -0.1824890375 0.0004840761
Acquity Group Ltd                                -0.2231108137 0.0004840761
ACR GROUP INC                                    -0.1371324923 0.0004840761
Acreage Holdings, Inc.                           -0.2936330902 0.0004840761
Acres Technology                                 -0.1840302820 0.0004840761
Acrivon Therapeutics, Inc.                       -0.2028076613 0.0004840761
ACS ENTERPRISES INC                               0.7131236270 0.0004840761
ACT INTERNATIONAL INC                            -0.2454313385 0.0004840761
ACT MANUFACTURING INC                            -0.3195938030 0.0004840761
ACT NETWORKS INC                                 -0.1303036690 0.0004840761
Actinium Pharmaceuticals, Inc.                   -0.1933502904 0.0004840761
ACTION INDUSTRIES INC                            -0.2036265001 0.0004840761
ACTIVE NETWORK INC                               -0.2168003510 0.0004840761
ACTIVE PRODUCTS CO                               -0.2913149848 0.0004840761
ACTIVECARE, INC.                                 -0.1262454960 0.0004840761
Activision Blizzard, Inc.                        -0.2079925916 0.0004840761
