$contributor.employer.matched
                                                   (Intercept)  cycle2020
ACI WORLDWIDE, INC.                              -0.2960299622 0.08296006
ACIES CORP                                       -0.3644809772 0.08296006
Aclaris Therapeutics, Inc.                       -0.0207639647 0.08296006
ACM Corp                                         -0.1937520639 0.08296006
ACME Aerospace, Inc.                             -0.4067380730 0.08296006
ACME ATRONOMATIC INC                             -0.5281590340 0.08296006
ACME ELECTRIC CORP                               -0.6169107735 0.08296006
ACME METALS INC/                                 -0.2557420306 0.08296006
ACME PACKET INC                                  -0.3290025739 0.08296006
ACME UNITED CORP                                 -0.2631858531 0.08296006
ACMI CORP                                        -0.4219676982 0.08296006
ACNB CORP                                        -0.2063920215 0.08296006
Acorda Therapeutics, Inc.                        -0.4428632102 0.08296006
ACORN ENERGY, INC.                               -0.0207332313 0.08296006
Acorn International, Inc.                        -0.3246864428 0.08296006
Acquity Group Ltd                                -0.3694624172 0.08296006
ACR GROUP INC                                    -0.2993353053 0.08296006
Acreage Holdings, Inc.                           -0.4281739086 0.08296006
Acres Technology                                 -0.3409059872 0.08296006
Acrivon Therapeutics, Inc.                       -0.3659859934 0.08296006
ACS ENTERPRISES INC                               0.5422890847 0.08296006
ACT INTERNATIONAL INC                            -0.4018447276 0.08296006
ACT MANUFACTURING INC                            -0.4734785417 0.08296006
ACT NETWORKS INC                                 -0.3032424532 0.08296006
Actinium Pharmaceuticals, Inc.                   -0.3545571147 0.08296006
ACTION INDUSTRIES INC                            -0.3670912818 0.08296006
ACTIVE NETWORK INC                               -0.3716059838 0.08296006
ACTIVE PRODUCTS CO                               -0.4445300733 0.08296006
ACTIVECARE, INC.                                 -0.2862398649 0.08296006
Activision Blizzard, Inc.                        -0.3625683549 0.08296006
ACTUATE CORP                                     -0.2162972864 0.08296006
ACTUATE THERAPEUTICS, INC.                       -0.5251499831 0.08296006
Acuity Brands Lighting, Inc.                     -0.4612917765 0.08296006
Acumen Pharmaceuticals, Inc.                     -0.3754825924 0.08296006
Acutus Medical, Inc.                             -0.4286719725 0.08296006
ACV Auctions Inc.                                -0.2614162201 0.08296006
ADA-ES INC                                       -0.3721164233 0.08296006
Adagene Inc.                                     -0.3764389293 0.08296006
ADAM INC                                         -0.0515949140 0.08296006
Adamas Pharmaceuticals Inc                       -0.4441444952 0.08296006
ADAMS OUTDOOR ADVERTISING INC                     0.0477093854 0.08296006
ADAMS RITE AEROSPACE INC                         -0.3061278768 0.08296006
AdaptHealth Corp.                                -0.4289160698 0.08296006
Adaptive Biotechnologies Corp                    -0.2169195731 0.08296006
ADAPTIVE INSIGHTS INC                            -0.4343549330 0.08296006
ADAPTIVE SOLUTIONS INC                           -0.4297703139 0.08296006
Addus HomeCare Corp                              -0.3217478325 0.08296006
ADE CORP                                         -0.0249387264 0.08296006
Adeia Inc.                                       -0.2688825771 0.08296006
ADEN SOLUTIONS INC.                              -0.3605027088 0.08296006
ADENA INC                                         0.0858332834 0.08296006
ADEPT TECHNOLOGY INC                             -0.2687289198 0.08296006
Adeptus Health Inc.                              -0.2042785355 0.08296006
ADESA INC                                        -0.4153173496 0.08296006
ADESTO TECHNOLOGIES Corp                         -0.3871589548 0.08296006
Adfitech, Inc.                                   -0.3609836954 0.08296006
ADFORCE INC                                      -0.3157187514 0.08296006
ADI GLOBAL DISTRIBUTION INC.                     -0.3688029039 0.08296006
Adicet Bio, Inc.                                 -0.4954106999 0.08296006
Adient plc                                       -0.4293174162 0.08296006
ADKNOWLEDGE INC                                  -0.5101179990 0.08296006
ADM ENTERPRISES INC                              -0.3531296115 0.08296006
ADMA BIOLOGICS, INC.                             -0.2073718109 0.08296006
Admiral Group                                     0.4089361843 0.08296006
ADOBE INC.                                       -0.3145515128 0.08296006
ADOREME, INC.                                    -0.3296037541 0.08296006
ADT Corp                                         -0.3518262378 0.08296006
ADVA INTERNATIONAL INC                           -0.1683676538 0.08296006
Advance America, Cash Advance Centers, Inc.       0.3508513844 0.08296006
ADVANCE AUTO PARTS INC                           -0.3775689767 0.08296006
ADVANCE CIRCUITS INC                             -0.2948683307 0.08296006
Advance Green Energy Inc                          0.3936807574 0.08296006
ADVANCE STORES CO INC                            -0.4346642556 0.08296006
ADVANCED COMMUNICATION SYSTEMS INC               -0.3851605515 0.08296006
