$contributor.employer.matched
                                                   (Intercept)  cycle2020
ACI WORLDWIDE, INC.                              -0.2960300999 0.08296017
ACIES CORP                                       -0.3644934129 0.08296017
Aclaris Therapeutics, Inc.                       -0.0207620257 0.08296017
ACM Corp                                         -0.1937523190 0.08296017
ACME Aerospace, Inc.                             -0.4067437694 0.08296017
ACME ATRONOMATIC INC                             -0.5281692322 0.08296017
ACME ELECTRIC CORP                               -0.6169183928 0.08296017
ACME METALS INC/                                 -0.2557411946 0.08296017
ACME PACKET INC                                  -0.3290135826 0.08296017
ACME UNITED CORP                                 -0.2631861779 0.08296017
ACMI CORP                                        -0.4219784711 0.08296017
ACNB CORP                                        -0.2063825517 0.08296017
Acorda Therapeutics, Inc.                        -0.4428642633 0.08296017
ACORN ENERGY, INC.                               -0.0207039489 0.08296017
Acorn International, Inc.                        -0.3246925016 0.08296017
Acquity Group Ltd                                -0.3694656593 0.08296017
ACR GROUP INC                                    -0.2993414947 0.08296017
Acreage Holdings, Inc.                           -0.4281775220 0.08296017
Acres Technology                                 -0.3409191368 0.08296017
Acrivon Therapeutics, Inc.                       -0.3660034245 0.08296017
ACS ENTERPRISES INC                               0.5424247302 0.08296017
ACT INTERNATIONAL INC                            -0.4018499137 0.08296017
ACT MANUFACTURING INC                            -0.4734840742 0.08296017
ACT NETWORKS INC                                 -0.3032491183 0.08296017
Actinium Pharmaceuticals, Inc.                   -0.3545660618 0.08296017
ACTION INDUSTRIES INC                            -0.3671089247 0.08296017
ACTIVE NETWORK INC                               -0.3716063527 0.08296017
ACTIVE PRODUCTS CO                               -0.4445521425 0.08296017
ACTIVECARE, INC.                                 -0.2862417269 0.08296017
Activision Blizzard, Inc.                        -0.3625685653 0.08296017
ACTUATE CORP                                     -0.2162916344 0.08296017
ACTUATE THERAPEUTICS, INC.                       -0.5251940543 0.08296017
Acuity Brands Lighting, Inc.                     -0.4612940794 0.08296017
Acumen Pharmaceuticals, Inc.                     -0.3754916223 0.08296017
Acutus Medical, Inc.                             -0.4286830110 0.08296017
ACV Auctions Inc.                                -0.2614166432 0.08296017
ADA-ES INC                                       -0.3721348129 0.08296017
Adagene Inc.                                     -0.3764443809 0.08296017
ADAM INC                                         -0.0515903076 0.08296017
Adamas Pharmaceuticals Inc                       -0.4441496413 0.08296017
ADAMS OUTDOOR ADVERTISING INC                     0.0477162370 0.08296017
ADAMS RITE AEROSPACE INC                         -0.3061288354 0.08296017
AdaptHealth Corp.                                -0.4289172824 0.08296017
Adaptive Biotechnologies Corp                    -0.2169199058 0.08296017
ADAPTIVE INSIGHTS INC                            -0.4343587461 0.08296017
ADAPTIVE SOLUTIONS INC                           -0.4297812518 0.08296017
Addus HomeCare Corp                              -0.3217485452 0.08296017
ADE CORP                                         -0.0249364193 0.08296017
Adeia Inc.                                       -0.2688830747 0.08296017
ADEN SOLUTIONS INC.                              -0.3605121615 0.08296017
ADENA INC                                         0.0858368728 0.08296017
ADEPT TECHNOLOGY INC                             -0.2687295346 0.08296017
Adeptus Health Inc.                              -0.2042758858 0.08296017
ADESA INC                                        -0.4153185181 0.08296017
ADESTO TECHNOLOGIES Corp                         -0.3871707604 0.08296017
Adfitech, Inc.                                   -0.3609877027 0.08296017
ADFORCE INC                                      -0.3157213965 0.08296017
ADI GLOBAL DISTRIBUTION INC.                     -0.3688101742 0.08296017
Adicet Bio, Inc.                                 -0.4954174961 0.08296017
Adient plc                                       -0.4293182418 0.08296017
ADKNOWLEDGE INC                                  -0.5101307253 0.08296017
ADM ENTERPRISES INC                              -0.3531368304 0.08296017
ADMA BIOLOGICS, INC.                             -0.2073696175 0.08296017
Admiral Group                                     0.4090494527 0.08296017
ADOBE INC.                                       -0.3145516305 0.08296017
ADOREME, INC.                                    -0.3296150406 0.08296017
ADT Corp                                         -0.3518266822 0.08296017
ADVA INTERNATIONAL INC                           -0.1683515836 0.08296017
Advance America, Cash Advance Centers, Inc.       0.3508515125 0.08296017
ADVANCE AUTO PARTS INC                           -0.3775694175 0.08296017
