$contributor.employer.matched
                                             (Intercept) cycle2020    cycle2024
ANSA COMMUNICATIONS INC                     -0.541016448 0.1212588 -0.004727251
Answers CORP                                -0.673774418 0.1212588 -0.004727251
ANSYS INC                                   -0.518387943 0.1212588 -0.004727251
ANTEC CORP                                  -0.530579009 0.1212588 -0.004727251
AOL LLC                                     -0.624023680 0.1212588 -0.004727251
APERTURE TECHNOLOGIES INC                   -0.536368071 0.1212588 -0.004727251
APEX INC                                    -0.505219586 0.1212588 -0.004727251
API Technologies Corp.                      -0.830373277 0.1212588 -0.004727251
Apigee Corp                                 -0.780779380 0.1212588 -0.004727251
APPDYNAMICS INC                             -0.570201909 0.1212588 -0.004727251
APPFOLIO INC                                -0.608814813 0.1212588 -0.004727251
Appgate, Inc.                               -0.496477356 0.1212588 -0.004727251
APPIAN, INC.                                -0.512885131 0.1212588 -0.004727251
Apple Inc.                                  -0.592941060 0.1212588 -0.004727251
APPLIED ENERGETICS, INC.                    -0.600868738 0.1212588 -0.004727251
APPLIED INNOVATION INC                       0.351499261 0.1212588 -0.004727251
APPLIED MICRO CIRCUITS CORP                 -0.630531406 0.1212588 -0.004727251
APPLIED OPTOELECTRONICS, INC.               -0.762572407 0.1212588 -0.004727251
APPLIED SYSTEMS INC                         -0.607401415 0.1212588 -0.004727251
AppLovin Corp                               -0.588909615 0.1212588 -0.004727251
Apptio Inc                                  -0.566957830 0.1212588 -0.004727251
APRECIA INC                                 -0.461214644 0.1212588 -0.004727251
Aprimo, INC                                 -0.643964087 0.1212588 -0.004727251
Apttus Corp                                 -0.536357519 0.1212588 -0.004727251
APTUS CORP                                  -0.321164869 0.1212588 -0.004727251
AQUANTIA CORP                               -0.632373608 0.1212588 -0.004727251
ARIBA INC                                   -0.617264520 0.1212588 -0.004727251
ARIEL CORP                                   0.450966489 0.1212588 -0.004727251
ARIS CORP/                                  -0.620393844 0.1212588 -0.004727251
Arise Technologies Inc.                     -0.422791353 0.1212588 -0.004727251
Arista Networks, Inc.                       -0.555720041 0.1212588 -0.004727251
ARKONA INC                                  -0.566727551 0.1212588 -0.004727251
ARM HOLDINGS PLC                            -0.499173478 0.1212588 -0.004727251
Array Technologies, Inc.                    -0.656272386 0.1212588 -0.004727251
ARRIS GROUP INC                             -0.788922932 0.1212588 -0.004727251
ARRIS International plc                     -0.609906911 0.1212588 -0.004727251
Arteris, Inc.                               -0.460988358 0.1212588 -0.004727251
ARUBA NETWORKS, INC.                        -0.654303674 0.1212588 -0.004727251
ASA INTERNATIONAL LTD                       -0.258812417 0.1212588 -0.004727251
Asana, Inc.                                 -0.577402890 0.1212588 -0.004727251
Ascent Solar Technologies, Inc.             -0.580224213 0.1212588 -0.004727251
ASPECT DEVELOPMENT INC                      -0.535206410 0.1212588 -0.004727251
Aspect Software, Inc.                       -0.604812671 0.1212588 -0.004727251
Aspen Technology, Inc.                      -0.555025388 0.1212588 -0.004727251
ASPENTECH Corp                              -0.590156392 0.1212588 -0.004727251
ASTEA INTERNATIONAL INC                     -0.545551414 0.1212588 -0.004727251
Astera Labs, Inc.                           -0.553769662 0.1212588 -0.004727251
AstroNova, Inc.                             -0.658650292 0.1212588 -0.004727251
ASURE SOFTWARE INC                          -0.554310950 0.1212588 -0.004727251
AT COMM CORP                                 0.132413888 0.1212588 -0.004727251
AT HOME CORP                                -0.226097019 0.1212588 -0.004727251
Atakama Inc.                                -0.493078578 0.1212588 -0.004727251
ATARI CORP                                  -0.439687901 0.1212588 -0.004727251
ATI TECHNOLOGIES INC                        -0.582682280 0.1212588 -0.004727251
ATL PRODUCTS INC                            -0.488677726 0.1212588 -0.004727251
Atlassian Corp                              -0.585394415 0.1212588 -0.004727251
ATMEL CORP                                  -0.580154097 0.1212588 -0.004727251
AtomBeam Technologies Inc.                  -0.536896381 0.1212588 -0.004727251
Atomera Inc                                 -0.611782979 0.1212588 -0.004727251
ATTACHMATE CORP                             -0.463394833 0.1212588 -0.004727251
ATTUNITY LTD                                -0.521892612 0.1212588 -0.004727251
AUDIENCE INC                                -0.572832889 0.1212588 -0.004727251
AUDIOCODES LTD                              -0.595428823 0.1212588 -0.004727251
AUDIOEYE INC                                -0.569723444 0.1212588 -0.004727251
AULT INC                                    -0.655204813 0.1212588 -0.004727251
Aurora Innovation, Inc.                     -0.542624689 0.1212588 -0.004727251
Aurum, Inc.                                  1.128531354 0.1212588 -0.004727251
Autodesk, Inc.                              -0.569432468 0.1212588 -0.004727251
AutoWeb, Inc.                               -0.594574544 0.1212588 -0.004727251
Avago Technologies LTD                      -0.606695962 0.1212588 -0.004727251
AVALARA, INC.                               -0.536972477 0.1212588 -0.004727251
AVANT CORP                                  -0.663555018 0.1212588 -0.004727251
AVATAR SYSTEMS INC                          -0.683412949 0.1212588 -0.004727251
Avaya Holdings Corp.                        -0.761148027 0.1212588 -0.004727251
AVAYA INC                                   -0.567925829 0.1212588 -0.004727251
AvePoint, Inc.                              -0.616319492 0.1212588 -0.004727251
