$contributor.employer.matched
                                             (Intercept) cycle2020    cycle2024
SUN MICROSYSTEMS, INC.                               0.6013572
SunEdison Semiconductor Ltd                          0.6013572
SUNEDISON, INC.                                      0.6013572
SunGard                                              0.6013572
SUNPOWER CORP                                        0.6013572
SUNQUEST INFORMATION SYSTEMS INC                     0.6013572
Super Micro Computer, Inc.                           0.6013572
SuperCom Ltd                                         0.6013572
SUPERTEX INC                                         0.6013572
Switch, Inc.                                         0.6013572
SYBASE INC                                           0.6013572
SYKES ENTERPRISES INC                                0.6013572
SYMMETRICOM INC                                      0.6013572
Synacor, Inc.                                        0.6013572
SYNAPTICS Inc                                        0.6013572
SYNCHRONICITY INC                                    0.6013572
SYNCHRONOSS TECHNOLOGIES INC                         0.6013572
SYNOPSYS INC                                         0.6013572
SYNTECH INTERNATIONAL INC                            0.6013572
SYNTEL INC                                           0.6013572
Syntiant Corp.                                       0.6013572
Sysorex, Inc.                                        0.6013572
System1, Inc.                                        0.6013572
SYSTEMS WEST INC                                     0.6013572
T1V, Inc.                                            0.6013572
Tableau Software Inc                                 0.6013572
TAKE TWO INTERACTIVE SOFTWARE INC                    0.6013572
TALX CORP                                            0.6013572
TAMPA BAY CORP                                       0.6013572
TANGOE INC                                           0.6013572
TCI INTERNATIONAL INC                                0.6013572
TCI SOLUTIONS INC                                    0.6013572
TCSI CORP                                            0.6013572
TDK CORP                                             0.6013572
TECHFORCE CORP                                       0.6013572
TECHNICAL COMMUNICATIONS CORP                        0.6013572
TECHNOLOGY SOLUTIONS COMPANY                         0.6013572
Techpoint, Inc.                                      0.6013572
TechSoup Global                                      0.6013572
TECHWELL INC                                         0.6013572
TEKELEC                                              0.6013572
TEKNOWLEDGE CORP                                     0.6013572
Tekumo, Inc.                                         0.6013572
TEL INSTRUMENT ELECTRONICS CORP                      0.6013572
TELECT INC                                           0.6013572
TELEDATA COMMUNICATIONS LTD                          0.6013572
Teledyne FLIR, LLC                                   0.6013572
TELEDYNE INC                                         0.6013572
TELEDYNE TECHNOLOGIES INC                            0.6013572
TELEMETRIX INC                                       0.6013572
Telenav, Inc.                                        0.6013572
TELLABS INC                                          0.6013572
TELOS CORP                                           0.6013572
TELULAR CORP                                         0.6013572
TELVUE CORP                                          0.6013572
Tempus AI, Inc.                                      0.6013572
TESSERA INC                                          0.6013572
TESSERA TECHNOLOGIES INC                             0.6013572
TEXAS INSTRUMENTS INC                                0.6013572
Textura Corp                                         0.6013572
THQ INC                                              0.6013572
TIBCO SOFTWARE INC                                   0.6013572
TIE COMMUNICATIONS INC                               0.6013572
TigerLogic CORP                                      0.6013572
TIGO ENERGY, INC.                                    0.6013572
Titan Environmental Solutions Inc.                   0.6013572
Titanium Group LTD                                   0.6013572
TOMAX CORP                                           0.6013572
TOROTEL INC                                          0.6013572
TOSHIBA CORP                                         0.6013572
TOWER SEMICONDUCTOR LTD                              0.6013572
TOYO Co., Ltd                                        0.6013572
Track Group, Inc.                                    0.6013572
Trade Desk, Inc.                                     0.6013572
TRANSACT TECHNOLOGIES INC                            0.6013572
TransparentBusiness, Inc.                            0.6013572
Transphorm, Inc.                                     0.6013572
TREEV INC                                            0.6013572
TREND MICRO INC                                      0.6013572
TRIAD SYSTEMS CORP                                   0.6013572
TRIDEX CORP                                          0.6013572
Triller Corp.                                        0.6013572
TRIMAX CORP                                          0.6013572
Trina Solar LTD                                      0.6013572
TRINITY WORKS INC                                    0.6013572
TripAdvisor, Inc.                                    0.6013572
TRIPOS INC                                           0.6013572
TRIPWIRE INC                                         0.6013572
TRIQUINT SEMICONDUCTOR INC                           0.6013572
TROY GROUP INC                                       0.6013572
TruBridge, Inc.                                      0.6013572
TrueCar, Inc.                                        0.6013572
TRUEVISION INC                                       0.6013572
Trustwave Holdings, Inc.                             0.6013572
TSR INC                                              0.6013572
TSX CORP                                             0.6013572
TTM TECHNOLOGIES INC                                 0.6013572
TUBEMOGUL INC                                        0.6013572
Turtle Beach Corp                                    0.6013572
TVI CORP                                             0.6013572
TWILIO INC                                           0.6013572
TWITTER, INC.                                        0.6013572
TYCOM LTD                                            0.6013572
TYLER TECHNOLOGIES INC                               0.6013572
UAV Corp                                             0.6013572
Ubiquiti Inc.                                        0.6013572
UGS Corp.                                            0.6013572
UiPath, Inc.                                         0.6013572
ULTIMATE SOFTWARE GROUP INC                          0.6013572
Ultra Clean Holdings, Inc.                           0.6013572
UNISON SOFTWARE INC                                  0.6013572
UNISYS CORP                                          0.6013572
United American Corp                                 0.6013572
UNITED ONLINE INC                                    0.6013572
UNITED SYSTEMS TECHNOLOGY INC                        0.6013572
Unity Software Inc.                                  0.6013572
Updater Inc.                                         0.6013572
Upland Software, Inc.                                0.6013572
UQM TECHNOLOGIES INC                                 0.6013572
USCS INTERNATIONAL INC                               0.6013572
UserTesting, Inc.                                    0.6013572
USWEB CORP                                           0.6013572
Valens Semiconductor Ltd.                            0.6013572
Vangent, Inc.                                        0.6013572
Varex Imaging Corp                                   0.6013572
VARONIS SYSTEMS INC                                  0.6013572
VASCO CORP                                           0.6013572
Vecima Networks Inc.                                 0.6013572
VECTr SYSTEMS INC                                    0.6013572
VEEA INC.                                            0.6013572
VEEVA SYSTEMS INC                                    0.6013572
Veradigm Inc.                                        0.6013572
VERIDIAN CORP                                        0.6013572
VERIFONE INC                                         0.6013572
VERIFONE SYSTEMS, INC.                               0.6013572
Verigy Ltd.                                          0.6013572
VERINT SYSTEMS INC                                   0.6013572
VERITAS SOFTWARE CORP                                0.6013572
VERSANT CORP                                         0.6013572
VERSATA INC                                          0.6013572
VERSATILITY INC                                      0.6013572
VERSO TECHNOLOGIES INC                               0.6013572
Vertex, Inc.                                         0.6013572
Vertical Communications, Inc.                        0.6013572
Via Transportation, Inc.                             0.6013572
Viant Technology Inc.                                0.6013572
VIASYSTEMS GROUP INC                                 0.6013572
VIASYSTEMS INC                                       0.6013572
VIAVI SOLUTIONS INC.                                 0.6013572
VICOR CORP                                           0.6013572
VICTOR TECHNOLOGIES INC                              0.6013572
VIDEO DISPLAY CORP                                   0.6013572
VIEWSONIC CORP                                       0.6013572
VIGNETTE CORP                                        0.6013572
Vimeo, Inc.                                          0.6013572
Vincera, Inc.                                        0.6013572
Violin Memory Inc                                    0.6013572
VIQ Solutions Inc.                                   0.6013572
VIRTUSA CORP                                         0.6013572
VISHAY INTERTECHNOLOGY INC                           0.6013572
Vishay Precision Group, Inc.                         0.6013572
VISIO CORP                                           0.6013572
VITAL IMAGES INC                                     0.6013572
VITRIA TECHNOLOGY INC                                0.6013572
Vivid Learning Systems, Inc.                         0.6013572
Vivint Smart Home, Inc.                              0.6013572
VMWARE LLC                                           0.6013572
VMX INC                                              0.6013572
VNG Ltd                                              0.6013572
VOCERA COMMUNICATIONS, INC.                          0.6013572
Vocus, Inc.                                          0.6013572
Voltaire Ltd.                                        0.6013572
VOLTERRA SEMICONDUCTOR CORP                          0.6013572
VOTERITE, INC.                                       0.6013572
VOXWARE INC                                          0.6013572
VTEX                                                 0.6013572
Vuzix Corp                                           0.6013572
WalkMe Ltd.                                          0.6013572
WATCHGUARD TECHNOLOGIES INC                          0.6013572
WatchGuard, Inc.                                     0.6013572
WAVE SYSTEMS CORP                                    0.6013572
Waverly Labs Inc                                     0.6013572
WEARABLE HEALTH SOLUTIONS, INC.                      0.6013572
Weave Communications, Inc.                           0.6013572
WEB.COM GROUP, INC.                                  0.6013572
WEBMD CORP                                           0.6013572
WEBTRENDS CORP                                       0.6013572
WESTERN DIGITAL CORP                                 0.6013572
WESTERN DIGITAL TECHNOLOGIES INC                     0.6013572
Where Food Comes From, Inc.                          0.6013572
WIDEPOINT CORP                                       0.6013572
WIND RIVER SYSTEMS INC                               0.6013572
WINK COMMUNICATIONS INC                              0.6013572
WIPRO LTD                                            0.6013572
WIRELESS INC                                         0.6013572
WIRELESS TELECOM GROUP INC                           0.6013572
WITH, INC.                                           0.6013572
WM TECHNOLOGY, INC.                                  0.6013572
WOLFSPEED, INC.                                      0.6013572
WORKIVA INC                                          0.6013572
WORLDWIDE TECHNOLOGIES INC                           0.6013572
Xactly Corp                                          0.6013572
XEROX CORP                                           0.6013572
XILINX INC                                           0.6013572
Xperi Corp                                           0.6013572
XPLORE TECHNOLOGIES CORP                             0.6013572
XRS Corp                                             0.6013572
XTERA COMMUNICATIONS, INC.                           0.6013572
YODLEE INC                                           0.6013572
Zedge, Inc.                                          0.6013572
Zerto, Ltd.                                          0.6013572
ZI CORP                                              0.6013572
ZILOG INC                                            0.6013572
ZING TECHNOLOGIES INC                                0.6013572
ZIPRECRUITER, INC.                                   0.6013572
Zoom Communications, Inc.                            0.6013572
ZoomInfo Technologies Inc.                           0.6013572
ZOOSK, INC                                           0.6013572
Zscaler, Inc.                                        0.6013572
zSpace, Inc.                                         0.6013572
ZUORA INC                                            0.6013572
                                            contributor.genderF
@ROAD, INC                                          -0.02536753
2U, LLC                                             -0.02536753
3AM TECHNOLOGIES INC                                -0.02536753
3COM CORP                                           -0.02536753
3D SYSTEMS CORP                                     -0.02536753
3FORCES INC.                                        -0.02536753
724 SOLUTIONS INC                                   -0.02536753
A10 Networks, Inc.                                  -0.02536753
Ability Inc.                                        -0.02536753
ABOUT, INC.                                         -0.02536753
ABSOLUTE ENTERTAINMENT INC                          -0.02536753
ABSOLUTE SOFTWARE CORP                              -0.02536753
Acacia Communications, Inc.                         -0.02536753
ACCELRYS, INC.                                      -0.02536753
ACCESS CORP                                         -0.02536753
ACI WORLDWIDE, INC.                                 -0.02536753
ACME PACKET INC                                     -0.02536753
ACT MANUFACTURING INC                               -0.02536753
ACT NETWORKS INC                                    -0.02536753
ACTIVE NETWORK INC                                  -0.02536753
ACTIVECARE, INC.                                    -0.02536753
Activision Blizzard, Inc.                           -0.02536753
ACTUATE CORP                                        -0.02536753
ADAM INC                                            -0.02536753
ADAPTIVE INSIGHTS INC                               -0.02536753
ADAPTIVE SOLUTIONS INC                              -0.02536753
ADESTO TECHNOLOGIES Corp                            -0.02536753
ADOBE INC.                                          -0.02536753
ADVA INTERNATIONAL INC                              -0.02536753
ADVANCE CIRCUITS INC                                -0.02536753
ADVANCED COMMUNICATION SYSTEMS INC                  -0.02536753
ADVANCED ENERGY INDUSTRIES INC                      -0.02536753
ADVANCED MEDIA INC                                  -0.02536753
ADVANCED MICRO DEVICES INC                          -0.02536753
ADVANCED PHOTONIX INC                               -0.02536753
Advanced Resources Group, Ltd.                      -0.02536753
ADVANTEST CORP                                      -0.02536753
Aegis Identity Software, Inc.                       -0.02536753
AEL INDUSTRIES INC                                  -0.02536753
AEROFLEX INC                                        -0.02536753
AEROHIVE NETWORKS, INC                              -0.02536753
AESP INC                                            -0.02536753
Afiniti, Ltd.                                       -0.02536753
AFN INC                                             -0.02536753
AFR Inc.                                            -0.02536753
AGILE SOFTWARE CORP                                 -0.02536753
AGILYSYS INC                                        -0.02536753
Agora, Inc.                                         -0.02536753
AIRGAIN INC                                         -0.02536753
AIRSPAN NETWORKS INC                                -0.02536753
AIRVANA INC                                         -0.02536753
Alarum Technologies Ltd.                            -0.02536753
ALCATEL LUCENT                                      -0.02536753
ALCATEL-LUCENT USA INC.                             -0.02536753
Alfi, Inc.                                          -0.02536753
Alien Technology Corp                               -0.02536753
ALKAMI TECHNOLOGY, INC.                             -0.02536753
ALLAIRE CORP                                        -0.02536753
ALLEGRO MICROSYSTEMS, INC.                          -0.02536753
Allot Ltd.                                          -0.02536753
ALPHA & OMEGA SEMICONDUCTOR Ltd                     -0.02536753
Alphabet Inc.                                       -0.02536753
ALPS ALPINE CO., LTD.                               -0.02536753
ALR TECHNOLOGIES INC.                               -0.02536753
Altair Engineering Inc.                             -0.02536753
ALTERA CORP                                         -0.02536753
Alteryx, Inc.                                       -0.02536753
ALTIGEN COMMUNICATIONS INC                          -0.02536753
ALTRON INC                                          -0.02536753
AM COMMUNICATIONS INC                               -0.02536753
AMANDA CO INC                                       -0.02536753
AMBARELLA INC                                       -0.02536753
Amber Road, Inc.                                    -0.02536753
Ambiq Micro, Inc.                                   -0.02536753
AMDOCS LTD                                          -0.02536753
AMERICAN ELECTRONIC COMPONENTS INC                  -0.02536753
AMERICAN TECHNICAL CERAMICS CORP                    -0.02536753
AMERICAN TOWER CORP                                 -0.02536753
Amesite Inc.                                        -0.02536753
AMICAS, Inc.                                        -0.02536753
AMIS HOLDINGS INC                                   -0.02536753
AMKOR TECHNOLOGY, INC.                              -0.02536753
AMP INC                                             -0.02536753
AMPEX CORP                                          -0.02536753
Amplitude, Inc.                                     -0.02536753
ANADIGICS INC                                       -0.02536753
ANALEX CORP                                         -0.02536753
ANALOG DEVICES INC                                  -0.02536753
ANALYSTS INTERNATIONAL CORP                         -0.02536753
ANALYTICAL GRAPHICS INC                             -0.02536753
Anaplan, Inc.                                       -0.02536753
ANAREN  INC                                         -0.02536753
ANSA COMMUNICATIONS INC                             -0.02536753
Answers CORP                                        -0.02536753
ANSYS INC                                           -0.02536753
ANTEC CORP                                          -0.02536753
AOL LLC                                             -0.02536753
APERTURE TECHNOLOGIES INC                           -0.02536753
APEX INC                                            -0.02536753
API Technologies Corp.                              -0.02536753
Apigee Corp                                         -0.02536753
APPDYNAMICS INC                                     -0.02536753
APPFOLIO INC                                        -0.02536753
Appgate, Inc.                                       -0.02536753
APPIAN, INC.                                        -0.02536753
Apple Inc.                                          -0.02536753
APPLIED ENERGETICS, INC.                            -0.02536753
APPLIED INNOVATION INC                              -0.02536753
APPLIED MICRO CIRCUITS CORP                         -0.02536753
APPLIED OPTOELECTRONICS, INC.                       -0.02536753
APPLIED SYSTEMS INC                                 -0.02536753
AppLovin Corp                                       -0.02536753
Apptio Inc                                          -0.02536753
APRECIA INC                                         -0.02536753
Aprimo, INC                                         -0.02536753
Apttus Corp                                         -0.02536753
APTUS CORP                                          -0.02536753
AQUANTIA CORP                                       -0.02536753
ARIBA INC                                           -0.02536753
ARIEL CORP                                          -0.02536753
ARIS CORP/                                          -0.02536753
Arise Technologies Inc.                             -0.02536753
Arista Networks, Inc.                               -0.02536753
ARKONA INC                                          -0.02536753
ARM HOLDINGS PLC                                    -0.02536753
Array Technologies, Inc.                            -0.02536753
ARRIS GROUP INC                                     -0.02536753
ARRIS International plc                             -0.02536753
Arteris, Inc.                                       -0.02536753
ARUBA NETWORKS, INC.                                -0.02536753
ASA INTERNATIONAL LTD                               -0.02536753
Asana, Inc.                                         -0.02536753
Ascent Solar Technologies, Inc.                     -0.02536753
ASPECT DEVELOPMENT INC                              -0.02536753
Aspect Software, Inc.                               -0.02536753
Aspen Technology, Inc.                              -0.02536753
ASPENTECH Corp                                      -0.02536753
ASTEA INTERNATIONAL INC                             -0.02536753
Astera Labs, Inc.                                   -0.02536753
AstroNova, Inc.                                     -0.02536753
ASURE SOFTWARE INC                                  -0.02536753
AT COMM CORP                                        -0.02536753
AT HOME CORP                                        -0.02536753
Atakama Inc.                                        -0.02536753
ATARI CORP                                          -0.02536753
ATI TECHNOLOGIES INC                                -0.02536753
ATL PRODUCTS INC                                    -0.02536753
Atlassian Corp                                      -0.02536753
ATMEL CORP                                          -0.02536753
AtomBeam Technologies Inc.                          -0.02536753
Atomera Inc                                         -0.02536753
ATTACHMATE CORP                                     -0.02536753
ATTUNITY LTD                                        -0.02536753
AUDIENCE INC                                        -0.02536753
AUDIOCODES LTD                                      -0.02536753
AUDIOEYE INC                                        -0.02536753
AULT INC                                            -0.02536753
Aurora Innovation, Inc.                             -0.02536753
Aurum, Inc.                                         -0.02536753
Autodesk, Inc.                                      -0.02536753
AutoWeb, Inc.                                       -0.02536753
Avago Technologies LTD                              -0.02536753
AVALARA, INC.                                       -0.02536753
AVANT CORP                                          -0.02536753
AVATAR SYSTEMS INC                                  -0.02536753
Avaya Holdings Corp.                                -0.02536753
AVAYA INC                                           -0.02536753
AvePoint, Inc.                                      -0.02536753
AVIAT NETWORKS, INC.                                -0.02536753
AVID TECHNOLOGY, INC.                               -0.02536753
AVOCENT CORP                                        -0.02536753
AVX Corp                                            -0.02536753
AXT INC                                             -0.02536753
AZTEK INC                                           -0.02536753
Babylon Ltd                                         -0.02536753
Backblaze, Inc.                                     -0.02536753
Baidu, Inc.                                         -0.02536753
BAKBONE SOFTWARE INC                                -0.02536753
BALLY TECHNOLOGIES, INC.                            -0.02536753
BANCTEC INC                                         -0.02536753
Bandwidth Inc.                                      -0.02536753
BARRACUDA NETWORKS INC                              -0.02536753
BARRISTER GLOBAL SERVICES NETWORK INC               -0.02536753
Bazaarvoice Inc                                     -0.02536753
BBN CORP                                            -0.02536753
BE INC                                              -0.02536753
BEA SYSTEMS INC                                     -0.02536753
BELL & HOWELL CO //                                 -0.02536753
BENCHMARK ELECTRONICS INC                           -0.02536753
Benefitfocus, Inc.                                  -0.02536753
BENTLEY SYSTEMS INC                                 -0.02536753
BEST SOFTWARE INC                                   -0.02536753
BILL Holdings, Inc.                                 -0.02536753
BIO KEY INTERNATIONAL INC                           -0.02536753
BioXcel LLC                                         -0.02536753
Bitstream Inc.                                      -0.02536753
BK Technologies Corp                                -0.02536753
BLACK BOX CORP                                      -0.02536753
Black Knight, Inc.                                  -0.02536753
BLACKBAUD INC                                       -0.02536753
BLACKBERRY Ltd                                      -0.02536753
BLACKBOARD INC                                      -0.02536753
BLACKLINE, INC.                                     -0.02536753
Blaize, Inc.                                        -0.02536753
Blend Labs, Inc.                                    -0.02536753
Block, Inc.                                         -0.02536753
BLUE BRIDGE CAPITAL, INC.                           -0.02536753
BLUE COAT SYSTEMS INC                               -0.02536753
Blue Coat, Inc.                                     -0.02536753
BMC SOFTWARE INC                                    -0.02536753
BOSTON TECHNOLOGY INC                               -0.02536753
BOTTOMLINE TECHNOLOGIES INC                         -0.02536753
bowmo, Inc.                                         -0.02536753
BOX INC                                             -0.02536753
BPO Management Services, Inc.                       -0.02536753
Brand Engagement Network Inc.                       -0.02536753
Braze, Inc.                                         -0.02536753
BRC HOLDINGS INC                                    -0.02536753
BRIDGE TECHNOLOGY INC                               -0.02536753
Bridgeline Digital, Inc.                            -0.02536753
Bright Mountain Media, Inc.                         -0.02536753
Brightways Corp                                     -0.02536753
BRILLIANT DIGITAL ENTERTAINMENT INC                 -0.02536753
BROADBANDNOW INC                                    -0.02536753
BROADCASTER INC                                     -0.02536753
BROADCOM CORP                                       -0.02536753
BROADSOFT, INC.                                     -0.02536753
BROADVISION INC                                     -0.02536753
BROCADE COMMUNICATIONS SYSTEMS INC                  -0.02536753
Bumble Inc.                                         -0.02536753
Business Warrior Corp                               -0.02536753
C3.ai, Inc.                                         -0.02536753
CA, INC.                                            -0.02536753
CADENCE DESIGN SYSTEMS INC                          -0.02536753
CAL INTERNATIONAL LTD                               -0.02536753
CalAmp Corp.                                        -0.02536753
CALLIDUS SOFTWARE INC                               -0.02536753
Cambium Networks Corp                               -0.02536753
Canadian Solar Inc.                                 -0.02536753
CANTALOUPE, INC.                                    -0.02536753
CAPRI CORP                                          -0.02536753
Carbon Black, Inc.                                  -0.02536753
Cardlytics, Inc.                                    -0.02536753
CARECENTRIC INC                                     -0.02536753
CareCloud, Inc.                                     -0.02536753
CareView Communications Inc                         -0.02536753
CARLETON CORP                                       -0.02536753
Casa Systems Inc                                    -0.02536753
CASCADE TECHNOLOGIES CORP                           -0.02536753
CATAPULT COMMUNICATIONS CORP                        -0.02536753
CAVIUM, INC.                                        -0.02536753
CDC CORP                                            -0.02536753
CDC Software CORP                                   -0.02536753
CELERITY SOLUTIONS INC                              -0.02536753
CELESTICA INC                                       -0.02536753
CERAGON NETWORKS LTD                                -0.02536753
Cerebras Systems Inc.                               -0.02536753
Cerence Inc.                                        -0.02536753
CERNER Corp                                         -0.02536753
Certara, Inc.                                       -0.02536753
CEVA INC                                            -0.02536753
CHANNELADVISOR CORP                                 -0.02536753
CHANNELL COMMERCIAL CORP                            -0.02536753
CHECK POINT SOFTWARE TECHNOLOGIES LTD               -0.02536753
CHECKPOINT SYSTEMS INC                              -0.02536753
China Inc                                           -0.02536753
CI&T Inc                                            -0.02536753
CICERO INC                                          -0.02536753
CIDRA CORP                                          -0.02536753
CIENA CORP                                          -0.02536753
CIMETRIX INC                                        -0.02536753
CIRCUIT SYSTEMS INC                                 -0.02536753
CIRRUS LOGIC, INC.                                  -0.02536753
CISCO SYSTEMS, INC.                                 -0.02536753
CISION LTD.                                         -0.02536753
CITRIX SYSTEMS INC                                  -0.02536753
CLARE INC                                           -0.02536753
CLARIFY INC                                         -0.02536753
Clear Secure, Inc.                                  -0.02536753
Clearfield, Inc.                                    -0.02536753
CLEARONE INC                                        -0.02536753
CLINICAL INTELLIGENCE INC                           -0.02536753
Cloudera, Inc.                                      -0.02536753
Cloudflare, Inc.                                    -0.02536753
CloudMinds Inc.                                     -0.02536753
CLPS Inc                                            -0.02536753
CMC INDUSTRIES INC                                  -0.02536753
CMC Materials, Inc.                                 -0.02536753
CNF TECHNOLOGIES INC                                -0.02536753
COBRA ELECTRONICS CORP                              -0.02536753
Coforge Ltd                                         -0.02536753
Cogent, Inc.                                        -0.02536753
COGNIZANT TECHNOLOGY SOLUTIONS CORP                 -0.02536753
COGNOS INC                                          -0.02536753
COMMAND SYSTEMS INC                                 -0.02536753
CommerceHub, Inc.                                   -0.02536753
COMMSCOPE INC                                       -0.02536753
COMMUNICATIONS & POWER INDUSTRIES LLC               -0.02536753
COMMVAULT SYSTEMS INC                               -0.02536753
COMPRESSION LABS INC                                -0.02536753
COMPUDYNE CORP                                      -0.02536753
COMPUSERVE CORP                                     -0.02536753
COMPUTER SCIENCES CORP                              -0.02536753
Computer Software Innovations, Inc.                 -0.02536753
COMPUTER TASK GROUP INC                             -0.02536753
COMPUWARE CORP                                      -0.02536753
COMTREX SYSTEMS CORP                                -0.02536753
CONCENTRA CORP                                      -0.02536753
CONCERO INC                                         -0.02536753
CONCUR TECHNOLOGIES INC                             -0.02536753
CONCURRENT COMPUTER CORP                            -0.02536753
CONEXANT SYSTEMS INC                                -0.02536753
Confluent, Inc.                                     -0.02536753
CONNECTED CORP                                      -0.02536753
CONNECTURE INC                                      -0.02536753
Consensus Cloud Solutions, Inc.                     -0.02536753
CONSILIUM INC                                       -0.02536753
CONSTELLATION SOFTWARE INC                          -0.02536753
CONTINUUM CO INC                                    -0.02536753
CONTROL DEVICES INC                                 -0.02536753
CONTROL4 CORP                                       -0.02536753
CONVERA Corp                                        -0.02536753
ConvergeOne Holdings, Inc.                          -0.02536753
CONVERGEX INC.                                      -0.02536753
Convio, Inc.                                        -0.02536753
COORSTEK INC                                        -0.02536753
CORAL SYSTEMS INC                                   -0.02536753
CORCOM INC                                          -0.02536753
CoreCard Corp                                       -0.02536753
COREL CORP                                          -0.02536753
CoreWeave, Inc.                                     -0.02536753
Cornerstone OnDemand Inc                            -0.02536753
Corridor Communications Corp                        -0.02536753
Corsair Components, Inc.                            -0.02536753
Corsair Gaming, Inc.                                -0.02536753
CORTINA SYSTEMS INC                                 -0.02536753
Couchbase, Inc.                                     -0.02536753
COUNTERPATH CORP                                    -0.02536753
Coupa Software Inc                                  -0.02536753
Coursera, Inc.                                      -0.02536753
CPI INTERNATIONAL, INC.                             -0.02536753
CRAY COMPUTER CORP                                  -0.02536753
CRAY INC                                            -0.02536753
CREATIVE REALITIES, INC.                            -0.02536753
CREATIVE TECHNOLOGY LTD                             -0.02536753
Cross Match Technologies, Inc.                      -0.02536753
CROSSCOMM CORP                                      -0.02536753
CROSSROADS SYSTEMS INC                              -0.02536753
CROSSWORLDS SOFTWARE INC                            -0.02536753
CrowdStrike Holdings, Inc.                          -0.02536753
Crown Electrokinetics Corp.                         -0.02536753
CS Disco, Inc.                                      -0.02536753
CSI TECHNOLOGIES INC                                -0.02536753
CSRA Inc.                                           -0.02536753
CTS CORP                                            -0.02536753
CVC INC                                             -0.02536753
CVENT INC                                           -0.02536753
CYAN INC                                            -0.02536753
CyberArk Software Ltd.                              -0.02536753
CYBERLUX CORP                                       -0.02536753
Cycurion, Inc.                                      -0.02536753
CYNET INC                                           -0.02536753
Cyngn Inc.                                          -0.02536753
CYREN Ltd.                                          -0.02536753
Cyxtera Technologies, Inc.                          -0.02536753
DAEGIS INC.                                         -0.02536753
DANGER INC                                          -0.02536753
DAS Inc                                             -0.02536753
DATA DIMENSIONS INC                                 -0.02536753
Data443 Risk Mitigation, Inc.                       -0.02536753
DATACARD CORP                                       -0.02536753
Datadog, Inc.                                       -0.02536753
DATALINK CORP                                       -0.02536753
DATAMETRICS CORP                                    -0.02536753
DATAPATH INC                                        -0.02536753
DataStax, Inc.                                      -0.02536753
DATATEC SYSTEMS INC                                 -0.02536753
DATATRAK INTERNATIONAL INC                          -0.02536753
DATAWATCH CORP                                      -0.02536753
DATAWORKS CORP                                      -0.02536753
DAVIDSON & ASSOCIATES INC                           -0.02536753
Dayforce, Inc.                                      -0.02536753
DDI CORP                                            -0.02536753
Dealertrack Technologies, Inc                       -0.02536753
DecisionPoint Systems, Inc.                         -0.02536753
Definitive Healthcare Corp.                         -0.02536753
DELL INC                                            -0.02536753
Dell Technologies Inc.                              -0.02536753
DeltaSoft Corp                                      -0.02536753
DELTEK, INC                                         -0.02536753
DemandTec, Inc.                                     -0.02536753
Demandware Inc                                      -0.02536753
DESCARTES SYSTEMS GROUP INC                         -0.02536753
DETAILS INC                                         -0.02536753
DETERMINE, INC.                                     -0.02536753
DIALOG SEMICONDUCTOR PLC                            -0.02536753
DIALOGIC CORP                                       -0.02536753
Diamond Lane, Inc.                                  -0.02536753
DIEBOLD NIXDORF, Inc                                -0.02536753
DIGI INTERNATIONAL INC                              -0.02536753
DIGIMARC CORP                                       -0.02536753
DIGITAL LINK CORP                                   -0.02536753
Digital Systems, Inc.                               -0.02536753
Diligent Corp                                       -0.02536753
DIRTT ENVIRONMENTAL SOLUTIONS LTD                   -0.02536753
DISH LTD                                            -0.02536753
DIVX INC                                            -0.02536753
DMI INC /CO/                                        -0.02536753
Docebo Inc.                                         -0.02536753
DOCUSIGN, INC.                                      -0.02536753
DOMO, INC.                                          -0.02536753
DOT HILL SYSTEMS CORP                               -0.02536753
Dot VN, Inc.                                        -0.02536753
Doximity, Inc.                                      -0.02536753
DRI CORP                                            -0.02536753
DROPBOX, INC.                                       -0.02536753
DRS COMMUNICATIONS CO LLC                           -0.02536753
DRS TECHNOLOGIES INC                                -0.02536753
DRS TEST & ENERGY MANAGEMENT INC                    -0.02536753
DSC Holdings Ltd.                                   -0.02536753
DSP COMMUNICATIONS INC                              -0.02536753
DUCK CREEK TECHNOLOGIES, INC.                       -0.02536753
Duolingo, Inc.                                      -0.02536753
DYNAMIC MEDIA INC                                   -0.02536753
DYNATEC INTERNATIONAL INC                           -0.02536753
Dynatrace, Inc.                                     -0.02536753
DZS INC.                                            -0.02536753
E DIGITAL CORP                                      -0.02536753
E SYSTEMS INC                                       -0.02536753
E2open Inc                                          -0.02536753
E3 CORP                                             -0.02536753
EAGLE POINT SOFTWARE CORP                           -0.02536753
EARTHWATCH INC                                      -0.02536753
EBIX INC                                            -0.02536753
ECHELON CORP                                        -0.02536753
ECI TELECOM LTD/                                    -0.02536753
Ecoss Inc.                                          -0.02536753
ECST Holdings Ltd                                   -0.02536753
EdgeWave, Inc.                                      -0.02536753
EDIFY CORP                                          -0.02536753
EDO CORP                                            -0.02536753
EDOCS INC                                           -0.02536753
EF Johnson Technologies, Inc.                       -0.02536753
EGAIN Corp                                          -0.02536753
Egenera, Inc.                                       -0.02536753
EIDOS PLC                                           -0.02536753
ELCO Management Co., LLC                            -0.02536753
ELECSYS CORP                                        -0.02536753
ELECTRONIC ARTS INC.                                -0.02536753
ELECTRONICS FOR IMAGING INC                         -0.02536753
ELLIE MAE INC                                       -0.02536753
EMAGIN CORP                                         -0.02536753
